"CAS#","Pollutant","Acute Toxic Endpoints","Subchronic Toxic Endpoints","Chronic Non-cancer Endpoints","Multimedia Factor Chemicals","Persistent Bioaccumulative Toxicants","Respiratory Sensitizers","Developmental Toxicants"
"0-02-5","Nickel refinery dust from the pyrometallurgical process","Resp","","Resp, Blood",FALSE,FALSE,TRUE,FALSE
"12035-72-2","Nickel sulfide (NI3S2)","Resp","","Resp, Blood",FALSE,FALSE,TRUE,FALSE
"7697-37-2","Nitric acid","Resp","",NA,FALSE,FALSE,TRUE,FALSE
"602-87-9","Nitroacenaphthene, 5-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"100-01-6","Nitroaniline, 4-",NA,"Blood",NA,FALSE,FALSE,FALSE,FALSE
"98-95-3","Nitrobenzene",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"7496-02-8","Nitrochrysene, 6-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"607-57-8","Nitrofluorene, 2-",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"10102-44-0","Nitrogen oxide (NO2)","Resp","",NA,FALSE,FALSE,FALSE,FALSE
"75-52-5","Nitromethane",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"79-46-9","Nitropropane, 2-",NA,"","Liver",FALSE,FALSE,FALSE,FALSE
"5522-43-0","Nitropyrene, 1-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"57835-92-4","Nitropyrene, 4-",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"156-10-5","Nitrosodiphenylamine, p-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"3268-87-9","Octachlorodibenzo-p-dioxin, 1,2,3,4,6,7,8,9-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"39001-02-0","Octachlorodibenzofuran, 1,2,3,4,6,7,8,9-",NA,"","Liver, Repro, Resp, Blood",FALSE,FALSE,FALSE,TRUE
"10028-15-6","Ozone","Resp , Eyes","",NA,TRUE,TRUE,FALSE,FALSE
"74472-37-0","PCB 114 (2,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"31508-00-6","PCB 118 (2,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"65510-44-3","PCB 123 (2,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"57465-28-8","PCB 126 (3,3,4,4,5 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"38380-0804","PCB 156 (2,3,3,4,4,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"69782-90-7","PCB 157 (2,3,3,4,4,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"52663-72-6","PCB 167 (2,3,4,4,5,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"32774-16-6","PCB 169 (3,3,4,4,5,5 Hexachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"39635-31-9","PCB 189 (2,3,3,4,4,5,5 Heptachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"32598-13-3","PCB 77 (3,3,4,4-Tetrachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"70362-50-4","PCB 81 (3,4,4,5 Tetrachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"32598-14-4","PCB105 (2,3,3,4,4 Pentachlorobiphenyl)",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"40321-76-4","Pentachlorodibenzo-p-dioxin, 1,2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-1","Pentachlorodibenzodioxins, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"57117-41-6","Pentachlorodibenzofuran, 1,2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"57117-31-4","Pentachlorodibenzofuran, 2,3,4,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-09-0","Pentachlorodibenzofurans, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"87-86-5","Pentachlorophenol",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"109-66-0","Pentane, n-",NA,"Systemic","Systemic",FALSE,FALSE,FALSE,FALSE
"00-07-7","Petroleum Hydrocarbons, Aliphatic (C7 - C11)",NA,"","Systemic",FALSE,FALSE,FALSE,FALSE
"85-01-8","Phenanthrene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"108-95-2","Phenol","Resp , Eyes","","Digest, Cardio, Kidney",FALSE,TRUE,FALSE,FALSE
"75-44-5","Phosgene","Resp","","Resp",FALSE,FALSE,FALSE,FALSE
"7803-51-2","Phosphine",NA,"Systemic","Systemic",FALSE,FALSE,FALSE,FALSE
"7664-38-2","Phosphoric acid",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"85-44-9","Phthalic anhydride",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"1336-36-3","Polychlorinated biphenyls (Aroclors unspeciated)",NA,"","Liver, Repro, Resp, Blood",FALSE,FALSE,TRUE,FALSE
"00-08-0","Polychlorinated Dibenzo-P-Dioxins And Furans, Total",NA,"","Liver, Repro, Resp, Blood",FALSE,FALSE,FALSE,FALSE
"00-05-0","Polychlorinated Dibenzodioxins, Total",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-05-1","Polychlorinated Dibenzofurans, Total",NA,"","Liver, Repro, Resp, Blood",FALSE,FALSE,FALSE,FALSE
"130498-29-2","Polycyclic Aromatic Hydrocarbons (PAH)",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"00-01-7","Polycyclic Organic Matter (POM)",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"9016-87-9","Polymeric diphenylmethane diisocyanate",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"7758-01-2","Potassium bromate",NA,"",NA,FALSE,FALSE,TRUE,FALSE
"1120-71-4","Propane sultone, 1,3-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"71-23-8","Propanol","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"123-38-6","Propionaldehyde",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"79-09-4","Propionic Acid","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"128-38-6","Proprionaldehyde","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"115-07-1","Propylene",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"78-87-5","Propylene dichloride (1,2-Dichloropropane)",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"107-98-2","Propylene Glycol Monomethyl Ether",NA,"Neuro","Neuro",FALSE,FALSE,FALSE,FALSE
"75-56-9","Propylene oxide","Resp , Repro , Eyes","","Resp",FALSE,FALSE,FALSE,FALSE
"930-55-2","Pyrrolidine, 1-Nitroso-",NA,"",NA,FALSE,FALSE,FALSE,TRUE
"7782-49-2","Selenium",NA,"","Digest, Cardio, Neuro",FALSE,FALSE,FALSE,FALSE
"0-01-9","Selenium Compounds",NA,"","Digest, Cardio, Neuro",FALSE,FALSE,FALSE,FALSE
"7631-86-9","Silica (crystalline, respirable, PM4)",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"1310-73-2","Sodium hydroxide","Resp , Eyes , Skin","",NA,FALSE,FALSE,FALSE,FALSE
"7789-06-2","Strontium chromate",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"100-42-5","Styrene","Resp , Eyes","","Neuro",FALSE,FALSE,FALSE,FALSE
"14808-79-8","Sulfates","Resp","",NA,FALSE,FALSE,FALSE,FALSE
"126-33-0","Sulfolane",NA,"Resp, Neuro",NA,FALSE,FALSE,FALSE,FALSE
"7446-09-5","Sulfur dioxide","Resp","",NA,FALSE,FALSE,FALSE,FALSE
"7664-93-9","Sulfuric acid (aerosol forms only)","Resp","","Resp",FALSE,FALSE,FALSE,FALSE
"8014-95-7","Sulfuric Acid mixture w. sulfur trioxide (oleum)","Resp","",NA,FALSE,FALSE,FALSE,FALSE
"00-09-1","TCDD Eqivalents, 2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",FALSE,FALSE,FALSE,FALSE
"1746-01-6","Tetrachlorodibenzo-p-dioxin, 2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-8","Tetrachlorodibenzodioxins, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"51207-31-9","Tetrachlorodibenzofuran, 2,3,7,8-",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"00-08-6","Tetrachlorodibenzofurans, All Isomers",NA,"","Liver, Repro, Resp, Blood",TRUE,TRUE,FALSE,FALSE
"630-20-6","Tetrachloroethane, 1,1,1,2-",NA,"",NA,TRUE,TRUE,FALSE,FALSE
"79-34-5","Tetrachloroethane, 1,1,2,2-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"127-18-4","Tetrachloroethylene (Perchloroethylene)","Resp , Neuro , Eyes","","Neuro",FALSE,FALSE,FALSE,FALSE
"811-97-2","Tetrafluoroethane, 1,1,1,2-",NA,"","Repro",FALSE,FALSE,FALSE,FALSE
"109-99-9","Tetrahydrofuran",NA,"","Liver, Neuro",FALSE,FALSE,FALSE,FALSE
"62-55-5","Thioacetamide",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"108-88-3","Toluene","Resp , Neuro , Eyes","Systemic","Neuro, Resp",FALSE,FALSE,FALSE,FALSE
"91-08-7","Toluene-2,6-diisocyanate",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"95-80-7","Toluene diamine, 2,4-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"584-84-9","Toluene diisocyanate, 2,4-",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"26471-62-5","Toluenediisocyanate (mixed isomers)",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"8001-35-2","Toxaphene (chlorinated camphene)",NA,"",NA,FALSE,FALSE,TRUE,FALSE
"120-82-1","Trichlorobenzene, 1,2,4-",NA,"Blood","Repro",FALSE,FALSE,TRUE,FALSE
"79-00-5","Trichloroethane, 1,1,2-",NA,"Resp",NA,FALSE,FALSE,FALSE,FALSE
"79-01-6","Trichloroethylene","Repro","","Repro",FALSE,FALSE,FALSE,FALSE
"75-69-4","Trichlorofluoromethane (CFC-11)",NA,"Neuro",NA,FALSE,FALSE,FALSE,TRUE
"88-06-2","Trichlorophenol, 2,4,6-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"96-18-4","Trichloropropane, 1,2,3-",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"96-19-5","Trichloropropene, 1,2,3-",NA,"Resp","Eyes, Resp, Skin",FALSE,FALSE,FALSE,FALSE
"121-44-8","Triethylamine","Eyes","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"526-73-8","Trimethylbenzene, 1,2,3-",NA,"Neuro","Neuro",FALSE,FALSE,FALSE,FALSE
"95-63-6","Trimethylbenzene, 1,2,4-",NA,"Blood","Blood",FALSE,FALSE,FALSE,FALSE
"1314-62-1","Vanadium Pentoxide, (V2O5)","Resp","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"108-05-4","Vinyl acetate",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"593-60-2","Vinyl bromide",NA,"","Liver",FALSE,FALSE,FALSE,FALSE
"75-01-4","Vinyl chloride","Resp , Neuro , Eyes","","Liver",FALSE,FALSE,FALSE,FALSE
"1330-20-7","Xylenes","Resp , Neuro , Eyes","Neuro","Neuro, Resp",FALSE,FALSE,FALSE,FALSE
"108-38-3","Xylenes, m-","Resp , Neuro , Eyes","Neuro","Neuro, Resp",FALSE,FALSE,FALSE,FALSE
"95-47-6","Xylenes, o-","Resp , Neuro , Eyes","Neuro","Neuro, Resp",FALSE,FALSE,FALSE,FALSE
"106-42-3","Xylenes, p-","Resp , Eyes , Neuro","Neuro","Neuro, Resp",FALSE,FALSE,FALSE,FALSE
"13530-65-9","Zinc chromate",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
